time,BlueCarCo,BlueCarCm,GreenCarCo,GreenCarCm,BlueCarSpeed,BlueCarPositionX,BlueCarPositionZ,GreenCarSpeed,GreenCarPositionX,GreenCarPositionZ,distance,ƒ{ƒ^ƒ“
0,1.090865,1.499833,0,0,29.52026,143,144.992,0,0,0,32.98968,on
0,1.087085,1.499863,0,0,29.66309,143,145.1568,0,0,0,33.15443,on
0,1.083383,1.499887,0,0,29.80865,143,145.3224,0,0,0,33.32001,on
0,1.079755,1.499906,0,0,29.95148,143,145.4888,0,0,0,33.48638,on
0,1.076197,1.499922,0,0,30.0943,143,145.6559,0,0,0,33.65354,on
0,1.072704,1.499934,0,0,30.23987,143,145.8239,0,0,0,33.82151,on
0,1.069274,1.499944,0,0,30.38269,143,145.9927,0,0,0,33.99027,on
0,1.065903,1.499953,0,0,30.52826,143,146.1623,0,0,0,34.15984,on
0,1.062587,1.49996,0,0,30.67108,143,146.3327,0,0,0,34.33021,on
0,1.059325,1.499965,0,0,30.81665,143,146.5039,0,0,0,34.50138,on
0,1.056113,1.49997,0,0,30.95947,143,146.6759,0,0,0,34.67335,on
0,1.052951,1.499974,0,0,31.10229,143,146.8487,0,0,0,34.84611,on
0,1.049834,1.499978,0,0,31.24786,143,147.0223,0,0,0,35.01968,on
0,1.046762,1.499981,0,0,31.39069,143,147.1967,0,0,0,35.19404,on
0,1.043733,1.499983,0,0,31.53625,143,147.3719,0,0,0,35.36921,on
0,1.040745,1.499985,0,0,31.67908,143,147.5479,0,0,0,35.54517,on
0,1.037796,1.499987,0,0,31.82465,143,147.7247,0,0,0,35.72195,on
0,1.034885,1.499988,0,0,31.96747,143,147.9023,0,0,0,35.89951,on
0,1.032011,1.49999,0,0,32.11029,143,148.0807,0,0,0,36.07787,on
0,1.029173,1.499991,0,0,32.25586,143,148.2599,0,0,0,36.25704,on
0,1.026369,1.499992,0,0,32.39868,143,148.4399,0,0,0,36.437,on
0,1.023598,1.499993,0,0,32.54425,143,148.6207,0,0,0,36.61777,on
0,1.020859,1.499993,0,0,32.68707,143,148.8023,0,0,0,36.79934,on
0,1.018152,1.499994,0,0,32.83264,143,148.9847,0,0,0,36.98171,on
0,1.015474,1.499995,0,0,32.97546,143,149.1679,0,0,0,37.16488,on
0,1.012826,1.499995,0,0,33.11829,143,149.3519,0,0,0,37.34884,on
0,1.010207,1.499996,0,0,33.26385,143,149.5367,0,0,0,37.53361,on
0,1.007615,1.499996,0,0,33.40668,143,149.7223,0,0,0,37.71917,on
0,1.005051,1.499996,0,0,33.55225,143,149.9087,0,0,0,37.90554,on
0,1.002513,1.499997,0,0,33.69507,143,150.0959,0,0,0,38.0927,on
0,1,1.499997,0,0,33.84064,143,150.2839,0,0,0,38.28068,on
0,1,1.499997,0,0,33.98346,143,150.4727,0,0,0,38.46944,on
0,1,1.499997,0,0,34.12628,143,150.6623,0,0,0,38.659,on
0,1,1.499998,0,0,34.27185,143,150.8527,0,0,0,38.84937,on
